ID,PACKAGE_1,PACKAGE_2,PACKAGE_3,PACKAGE_4,PACKAGE_5,PACKAGE_6,PACKAGE_7,PACKAGE_8
1,G842J,B271R,I316M,J376F,I969E,E223W,U786D,U713I
2,I316M,R657J,T185D,D875H,T671P,R972Y,X324V,C129Y
3,X162R,X793T,U834T,B442P,V954S,M235J,A576R,J298S
4,B442P,X162R,T185D,X891C,X324V,P458K,R174E,E223W
5,F281A,V797J,U487U,G187G,M177F,T671P,G338M,O437P
6,G576E,A352M,X456U,F281A,J298S,W183P,Z632O,U786D
7,Z258N,G549X,Y659W,L253B,S378N,C129Y,R174E,I969E
8,Y475I,B271R,G867R,I546G,G338M,M177F,X324V,J298S
9,G187G,U487U,C596U,A352M,X324V,O193D,J298S,A576R
10,T185D,Y659W,G187G,I316M,M177F,K943U,T671P,X917E
11,B152U,X793T,I546G,I316M,X324V,M481Q,A576R,G338M
12,G549X,V797J,R657J,Z258N,I969E,G338M,J926Q,E223W
13,F556I,X162R,X891C,B442P,M177F,V954S,J298S,O437P
14,D433D,J259W,F281A,Y475I,M177F,R895J,O121Y,I969E
15,M672B,L253B,B271R,J376F,M235J,P842N,D919F,V954S
16,Y659W,V797J,X891C,I546G,W725E,B511K,M235J,P243P
17,V797J,T185D,X891C,D433D,D919F,J298S,U713I,V954S
18,M672B,T185D,L253B,B152U,U713I,X324V,J298S,M481Q
19,Y475I,F556I,Y659W,W233P,W725E,B511K,M481Q,M177F
20,V645K,T185D,I546G,M672B,J298S,V954S,U786D,M942Q
