ID,PACKAGE_1,PACKAGE_2,PACKAGE_3,PACKAGE_4,PACKAGE_5,PACKAGE_6,PACKAGE_7,PACKAGE_8
1,R972Y,M177F,Z632O,X324V,V645K,E223W,G842J,W233P
2,B152U,I667E,R895J,V954S,B375E,L253B,U487U,I969E
3,A352M,Z632O,P458K,C596U,P842N,X891C,R657J,U487U
4,T185D,G338M,I667E,J926Q,P842N,W233P,G867R,Z258N
5,C596U,A352M,W725E,X324V,B511K,G842J,J376F,Y475I
6,O437P,F556I,S378N,M942Q,P243P,G867R,I546G,M672B
7,V954S,M942Q,D875H,X324V,U487U,T671P,P243P,D433D
8,R174E,X917E,D875H,X793T,Y659W,J259W,O121Y,D919F
9,G338M,X324V,T944D,I667E,O121Y,Y659W,I316M,D919F
10,M235J,W725E,A352M,B271R,D433D,G187G,X891C,U487U
11,B152U,A576R,W183P,K943U,L253B,E223W,X162R,X891C
12,C596U,T944D,C129Y,V797J,U834T,G187G,J376F,T671P
13,M942Q,I667E,T185D,M235J,G187G,O121Y,I546G,H149B
14,R972Y,I667E,M942Q,U786D,G842J,G549X,Y659W,M481Q
15,M942Q,X793T,V797J,W183P,M672B,T671P,G187G,U834T
16,C596U,U713I,Z632O,P458K,U487U,X891C,D919F,X162R
17,B271R,B152U,P458K,C129Y,Z258N,Y475I,D433D,D919F
18,A352M,S378N,P458K,T185D,G549X,G867R,J298S,M481Q
19,R972Y,U713I,K943U,O437P,J259W,X162R,G187G,O121Y
20,A352M,R895J,M942Q,V954S,G842J,M672B,Y475I,O121Y
